Date,Operating_Income,State_0,State_1
2020-01-03,146.65357204702192,5.4585762197551446e-05,0.9999454142377987
2020-01-06,147.15016217899927,0.005719288518580862,0.9942807114814153
2020-01-07,147.31430370892363,0.008328546363235854,0.9916714536367602
2020-01-08,147.47775098181393,0.00978767178557187,0.9902123282144243
2020-01-09,147.6405039976702,0.007941009567004307,0.9920589904329918
2020-01-10,147.8025627564925,4.231143424481348e-05,0.9999576885657513
2020-01-13,148.28457349075504,0.0063990234481498395,0.9936009765518463
2020-01-14,148.44385522144117,0.009259531144596714,0.9907404688553992
2020-01-15,148.6024426950932,0.010716623060189305,0.9892833769398068
2020-01-16,148.76033591171125,0.00869496361668657,0.9913050363833095
2020-01-17,148.91753487129526,0.00011374567496756097,0.9998862543250285
2020-01-20,149.3849662078431,0.007262312111867803,0.9927376878881282
2020-01-21,149.53938813929093,0.01039912201300478,0.9896008779869915
2020-01-22,149.69311581370476,0.011861100175930934,0.9881388998240654
2020-01-23,149.84614923108458,0.009644620908940842,0.9903553790910554
2020-01-24,149.99848839143033,0.0002967120244734983,0.999703287975523
2020-01-27,150.45134033026335,0.008444701755127116,0.9915552982448693
2020-01-28,150.600902462473,0.01193876379201766,0.9880612362079787
2020-01-29,150.74977033764853,0.013439503356514705,0.9865604966434816
2020-01-30,150.89794395579008,0.01101385208921258,0.9889861479107835
2020-01-31,151.04542331689757,0.000808902941501077,0.9991910970584951
2020-02-03,151.48369585801586,0.010921417734380897,0.9890785822656152
2020-02-04,151.62839819098724,0.015228961297569617,0.9847710387024263
2020-02-05,151.77240626692455,0.01698665399764568,0.9830133460023502
2020-02-06,151.91572008582784,0.014371590289814412,0.9856284097101817
2020-02-07,152.0583396476971,0.003171395601486546,0.9968286043985094
2020-02-10,152.4820327911006,0.02182114893510445,0.9781788510648916
2020-02-11,152.62187532483372,0.03010676546673796,0.969893234533258
2020-02-12,152.7610236015328,0.033641136409732875,0.9663588635902631
2020-02-13,152.89947762119783,0.03121471807924138,0.9687852819207547
2020-02-14,153.03723738382882,0.018979893759684903,0.9810201062403111
2020-02-17,153.44635112951764,0.0724802496123477,0.9275197503876483
2020-02-18,153.58133386401246,0.09689555899440769,0.9031044410055885
2020-02-19,153.7156223414733,0.10782605969629336,0.8921739403037028
2020-02-20,153.84921656190008,0.10721504772541826,0.8927849522745779
2020-02-21,153.9821165252928,0.09468094423861341,0.9053190557613829
2020-02-24,154.37665087326684,0.22204456190013594,0.7779554380998603
2020-02-25,154.50677380852343,0.2791840100899925,0.7208159899100038
2020-02-26,154.63620248674601,0.30463521347469447,0.6953647865253019
2020-02-27,154.76493690793455,0.3081654204049322,0.6918345795950641
2020-02-28,154.892977072089,0.29728482613371987,0.7027151738662766
2020-03-02,155.2729320223483,0.4804637646899518,0.5195362353100444
2020-03-03,155.39819515836666,0.5601338583591429,0.4398661416408535
2020-03-04,155.52276403735098,0.5947704768019731,0.405229523198023
2020-03-05,155.64663865930123,0.6014606398548207,0.39853936014517566
2020-03-06,155.76981902421753,0.5936754928487095,0.40632450715128693
2020-03-09,156.13519457676202,0.7457749428197865,0.25422505718020993
2020-03-10,156.2555979135421,0.8096994501870084,0.1903005498129878
2020-03-11,156.37530699328815,0.836675216387618,0.16332478361237845
2020-03-12,156.49432181600022,0.8420940796620219,0.1579059203379744
2020-03-13,156.61264238167817,0.8368236763676115,0.16317632363238524
2020-03-16,156.96343853650794,0.9121100047950634,0.08788999520493306
2020-03-17,157.07898207404978,0.9426190367335896,0.05738096326640729
2020-03-18,157.1938313545576,0.9550754827206921,0.04492451727930487
2020-03-19,157.3079863780314,0.9572056405965597,0.042794359403437274
2020-03-20,157.42144714447113,0.9533871455916143,0.046612854408382684
2020-03-23,157.75766390158614,0.9777145350857157,0.022285464914281322
2020-03-24,157.86834763988975,0.9871458642067102,0.012854135793286616
2020-03-25,157.97833712115929,0.9908475325793408,0.009152467420656044
2020-03-26,158.0876323453948,0.9910446535827266,0.00895534641726995
2020-03-27,158.1962333125963,0.9882810099921481,0.011718990007848658
2020-03-30,158.51787067199655,0.9948572565895358,0.005142743410460729
2020-03-31,158.6236946110619,0.9972315853539694,0.002768414646027381
2020-04-01,158.7288242930932,0.9981173645480492,0.0018826354519476908
2020-04-02,158.8332597180905,0.9978326614245224,0.0021673385754743895
2020-04-03,158.9370008860537,0.9959330319708063,0.004066968029190454
2020-04-06,159.2440588477392,0.9983061844135365,0.001693815586460147
2020-04-07,159.3450229875663,0.9990765943412032,0.0009234056587934416
2020-04-08,159.44529287035934,0.9993550568647221,0.0006449431352745169
2020-04-09,159.5448684961184,0.999081627403913,0.0009183725960835808
2020-04-10,159.6437498648434,0.9978024090370501,0.0021975909629465677
2020-04-13,159.9362284288141,0.999111553256527,0.0008884467434698463
2020-04-14,160.03233276940293,0.9994968643572059,0.0005031356427908574
2020-04-15,160.12774285295774,0.9996411152907266,0.0003588847092699937
2020-04-16,160.22245867947854,0.9994420914992247,0.0005579085007718799
2020-04-17,160.31648024896526,0.9985713357522068,0.0014286642477900052
2020-04-20,160.59437941522123,0.9994300580259642,0.0005699419740324232
2020-04-21,160.68562395657185,0.9996611426751231,0.00033885732487353776
