Date,Operating_Income,State_0,State_1
2020-01-03,500.2243056009417,0.00047442402169907123,0.9995255759782962
2020-01-06,499.01452590750864,0.006806884691359645,0.993193115308636
2020-01-07,498.61431081434534,0.010084922903204625,0.989915077096791
2020-01-08,498.21561812350603,0.011278599546019846,0.9887214004539756
2020-01-09,497.8184478349907,0.009237047395844113,0.9907629526041513
2020-01-10,497.4227999487993,0.00027841572718823797,0.9997215842728072
2020-01-13,496.24499070416846,0.007111075814167545,0.9928889241858277
2020-01-14,495.8554324272728,0.010548462433197316,0.989451537566798
2020-01-15,495.4673965527009,0.011757135566023305,0.988242864433972
2020-01-16,495.080883080453,0.009662983124978793,0.9903370168750165
2020-01-17,494.6958920105291,0.0004604337898156311,0.9995395662101797
2020-01-20,493.5500532147009,0.00788425114679079,0.9921157488532044
2020-01-21,493.1711517540726,0.011509824212491835,0.9884901757875033
2020-01-22,492.7937726957682,0.012731523773166557,0.9872684762268285
2020-01-23,492.4179160397879,0.010513549405585723,0.9894864505944095
2020-01-24,492.04358178613137,0.000794410136101049,0.9992055898638943
2020-01-27,490.9297134391055,0.008995714488851243,0.9910042855111442
2020-01-28,490.5614687947448,0.012887256733409385,0.9871127432665858
2020-01-29,490.19474655270795,0.014149033058325194,0.9858509669416702
2020-01-30,489.829546712995,0.01178872893006123,0.9882112710699341
2020-01-31,489.465869275606,0.001452139944256114,0.9985478600557393
2020-02-03,488.38397137738264,0.011007616427678876,0.9889923835723164
2020-02-04,488.02638354928933,0.015427142190009183,0.9845728578099862
2020-02-05,487.67031812351996,0.016834132320144527,0.9831658676798507
2020-02-06,487.3157751000746,0.014323185332596761,0.9856768146673985
2020-02-07,486.9627544789531,0.003230789229336304,0.996769210770659
2020-02-10,485.9128270295321,0.016699946532370898,0.9833000534676245
2020-02-11,485.5658960177063,0.022833872348964633,0.9771661276510307
2020-02-12,485.22048740820446,0.024885495065351308,0.9751145049346439
2020-02-13,484.8766012010266,0.022310838258287134,0.977689161741708
2020-02-14,484.5342373961724,0.010308128831699934,0.9896918711682954
2020-02-17,483.516280395554,0.037219525496571745,0.9627804745034237
2020-02-18,483.18000619999566,0.04938576276277281,0.9506142372372226
2020-02-19,482.84525440676134,0.053883372600256205,0.9461166273997393
2020-02-20,482.51202501585084,0.05169918769028283,0.9483008123097126
2020-02-21,482.1803180272643,0.03878997912270618,0.9612100208772894
2020-02-24,481.19433147544817,0.10074907374612815,0.8992509262538673
2020-02-25,480.86871409615736,0.12832976691486975,0.8716702330851257
2020-02-26,480.54461911919054,0.13906444525547168,0.8609355547445239
2020-02-27,480.2220465445475,0.13835701922289773,0.8616429807770978
2020-02-28,479.9009963722284,0.1250777624073657,0.8749222375926299
2020-03-02,478.94698026921486,0.2428763102695436,0.7571236897304519
2020-03-03,478.6320197061915,0.2940760422655433,0.7059239577344522
2020-03-04,478.3185815454921,0.3141105610716856,0.6858894389283099
2020-03-05,478.0066657871166,0.3159483849675191,0.6840516150324764
2020-03-06,477.6962724310651,0.3035092448588636,0.6964907551411318
2020-03-09,476.7742267768538,0.46264459278573666,0.5373554072142587
2020-03-10,476.469923030098,0.5299512122864185,0.470048787713577
2020-03-11,476.16714168566614,0.5559249616628322,0.44407503833716344
2020-03-12,475.86588274355813,0.5597673001324917,0.4402326998675041
2020-03-13,475.56614620377394,0.5493860410917971,0.45061395890819866
2020-03-16,474.6760709983653,0.6960996837999142,0.3039003162000817
2020-03-17,474.3824240678769,0.7564157822147934,0.2435842177852022
2020-03-18,474.0902995397125,0.7791807483117595,0.2208192516882357
2020-03-19,473.79969741387197,0.7828371313813599,0.21716286861863543
2020-03-20,473.5106176903554,0.7749001162135499,0.2250998837864455
2020-03-23,472.6525129337491,0.8673666897579583,0.13263331024203703
2020-03-24,472.3695228195282,0.9042979433248086,0.0957020566751866
2020-03-25,472.08805510763125,0.9178449389241383,0.08215506107585667
2020-03-26,471.8081097980582,0.919733091041263,0.0802669089587321
2020-03-27,471.529686890809,0.9138915480885692,0.0861084519114256
2020-03-30,470.70355258300526,0.9551006909312725,0.0448993090687225
2020-03-31,470.4312192850519,0.9710779554516796,0.028922044548314933
2020-04-01,470.16040838942234,0.9767118776472214,0.02328812235277334
2020-04-02,469.8911198961169,0.9770402405278422,0.022959759472152622
2020-04-03,469.6233538051352,0.9728104563379184,0.027189543662076494
2020-04-06,468.8291899461338,0.9871923109817217,0.012807689018273425
2020-04-07,468.56751346444787,0.9925941942652465,0.007405805734748894
2020-04-08,468.30735938508593,0.9943763230710657,0.005623676928929626
2020-04-09,468.04872770804786,0.994058358897971,0.005941641102024139
2020-04-10,467.7916184333337,0.9910504422258051,0.008949557774190006
2020-04-13,467.02942502313476,0.9960903172011127,0.003909682798882509
2020-04-14,466.7784053577163,0.9979195225676777,0.002080477432317517
2020-04-15,466.5289080946218,0.9984569554722097,0.0015430445277854906
2020-04-16,466.2809332338513,0.9980568662565563,0.0019431337434387868
2020-04-17,466.03448077540463,0.9959427343688119,0.004057265631183565
2020-04-20,465.30425781400817,0.9983154876707894,0.0016845123292059802
2020-04-21,465.0638949648572,0.9991501312590937,0.000849868740901513
2020-04-22,464.82505451803013,0.9993665707855257,0.0006334292144695491
2020-04-23,464.58773647352706,0.9990449955443143,0.0009550044556809628
2020-04-24,464.3519408313479,0.9975560114876414,0.0024439885123539178
2020-04-27,463.65368831875384,0.9990205760754803,0.0009794239245149456
2020-04-28,463.4239822858704,0.9995233304247192,0.0004766695752761181
2020-04-29,463.19579865531085,0.9996450980906677,0.00035490190932756395
